,Сетей теплоснабжения,Сетей холодного водоснабжения,Сетей горячего водоснабжения,Сетей электроснабжения,Сети газоснабжения,Станций водоподготовки,Водонасосных объектов,Объектов водозабора,Сетей водоотведения,Очистных сооружений канализации,Канализационных насосных станций,Котельных,Тепловых пунктов,Unnamed: 0,T,Po,P,Pa,U,Ff,ff10,ff3,Tn,Tx,VV,Td,tR,Tg
0,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48777,-20.0,754.4,764.3,-0.1,54,1,11,12,-0.9,3.5,20.0,-26.9,12,10
1,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48779,-17.3,754.5,764.3,0.3,50,3,11,12,-0.9,-14.4,20.0,-25.3,12,10
2,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48781,-14.6,754.2,763.9,-0.6,45,4,11,12,-0.9,3.5,20.0,-23.9,12,10
3,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48783,-15.6,754.8,764.6,-1.3,46,4,11,12,-0.9,3.5,20.0,-24.5,12,10
4,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48785,-27.1,756.1,766.3,-0.3,69,1,11,12,-32.8,3.5,20.0,-31.0,12,10
5,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48787,-31.6,756.4,766.8,-0.6,73,0,11,12,-32.4,3.5,20.0,-34.8,12,10
6,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48789,-32.4,757.0,767.4,-0.4,73,0,11,12,-0.9,3.5,20.0,-35.6,12,10
7,77.0,20.0,69,0,0.0,77.5,100,40,73.0,100.0,37.0,88.0,37,48791,-31.9,757.4,767.8,0.4,77,0,11,12,-0.9,3.5,20.0,-34.6,12,10
8,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276075,-19.5,751.1,764.5,-0.2,50,2,11,12,-0.9,3.5,50.0,-27.3,12,10
9,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276077,-17.5,751.3,764.5,0.3,49,3,11,12,-0.9,-14.5,50.0,-25.8,12,10
10,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276079,-14.6,751.0,764.1,-0.6,41,3,11,12,-0.9,3.5,50.0,-24.9,12,10
11,99.8,96.6,0,0,0.0,0.0,100,0,100.0,64.0,100.0,66.9,0,276081,-16.0,751.6,764.8,-0.6,45,3,11,12,-0.9,3.5,50.0,-25.2,12,10
